name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,1,2PT Field Goal,0,0,1,,
Stephen Curry,0,2PT Field Goal,2,15,17,,
Stephen Curry,0,2PT Field Goal,1,-2,17,,
Stephen Curry,1,2PT Field Goal,1,-10,1,,
Stephen Curry,1,2PT Field Goal,0,2,1,,
Stephen Curry,0,2PT Field Goal,1,-10,-2,,
Stephen Curry,0,2PT Field Goal,1,-11,4,,
Stephen Curry,0,2PT Field Goal,0,6,6,,
Stephen Curry,1,2PT Field Goal,1,4,14,,
Stephen Curry,1,2PT Field Goal,0,9,4,,
Stephen Curry,1,2PT Field Goal,3,-29,15,,
Stephen Curry,1,2PT Field Goal,1,-10,1,,
Stephen Curry,0,2PT Field Goal,1,-8,9,,
Stephen Curry,1,2PT Field Goal,1,17,9,,
Stephen Curry,0,2PT Field Goal,2,-21,12,,
Stephen Curry,1,2PT Field Goal,1,10,17,,
Stephen Curry,0,2PT Field Goal,2,15,14,,
Stephen Curry,0,2PT Field Goal,1,-10,7,,
Stephen Curry,1,2PT Field Goal,4,45,6,,
Stephen Curry,1,2PT Field Goal,1,-10,4,,
Stephen Curry,1,2PT Field Goal,2,23,4,,
Stephen Curry,1,2PT Field Goal,0,7,7,,
Stephen Curry,1,2PT Field Goal,1,12,15,,
Stephen Curry,1,2PT Field Goal,1,13,15,,
Stephen Curry,1,2PT Field Goal,1,13,1,,
Stephen Curry,1,2PT Field Goal,0,-8,-2,,
Stephen Curry,1,2PT Field Goal,1,13,-6,,
Stephen Curry,0,2PT Field Goal,2,18,15,,
Stephen Curry,1,2PT Field Goal,0,6,7,,
Stephen Curry,0,2PT Field Goal,2,-6,22,,
Stephen Curry,0,2PT Field Goal,1,0,19,,
Stephen Curry,1,2PT Field Goal,0,7,4,,
Stephen Curry,0,2PT Field Goal,2,-16,17,,
Stephen Curry,0,2PT Field Goal,0,-4,7,,
Stephen Curry,1,2PT Field Goal,1,9,17,,
Stephen Curry,1,2PT Field Goal,1,7,9,,
Stephen Curry,0,2PT Field Goal,2,-23,6,,
Stephen Curry,1,2PT Field Goal,0,9,3,,
Stephen Curry,1,2PT Field Goal,0,-8,0,,
Stephen Curry,1,2PT Field Goal,1,-10,14,,
Stephen Curry,1,2PT Field Goal,0,7,3,,
Stephen Curry,1,2PT Field Goal,0,2,9,,
Stephen Curry,1,2PT Field Goal,1,-15,4,,
Stephen Curry,1,2PT Field Goal,2,24,17,,
Stephen Curry,0,2PT Field Goal,0,4,6,,
Stephen Curry,1,2PT Field Goal,2,-24,3,,
Stephen Curry,1,2PT Field Goal,2,21,12,,
Stephen Curry,1,2PT Field Goal,2,18,15,,
Stephen Curry,1,2PT Field Goal,1,-16,9,,
Stephen Curry,1,2PT Field Goal,3,15,33,,
Stephen Curry,1,2PT Field Goal,0,6,7,,
Stephen Curry,1,2PT Field Goal,1,1,14,,
Stephen Curry,1,2PT Field Goal,1,12,3,,
Stephen Curry,1,2PT Field Goal,1,-10,12,,
Stephen Curry,1,2PT Field Goal,0,-2,-8,,
Stephen Curry,1,2PT Field Goal,1,-8,7,,
Stephen Curry,1,2PT Field Goal,0,-5,-2,,
Stephen Curry,1,2PT Field Goal,1,-15,11,,
Stephen Curry,1,2PT Field Goal,0,9,3,,
Stephen Curry,1,2PT Field Goal,1,-13,4,,
Stephen Curry,1,2PT Field Goal,0,1,3,,
