name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,1,2PT Field Goal,2,24,17
DeMar DeRozan,0,2PT Field Goal,4,39,20
DeMar DeRozan,0,2PT Field Goal,2,-27,0
DeMar DeRozan,0,2PT Field Goal,2,-23,0
DeMar DeRozan,0,2PT Field Goal,1,-16,9
DeMar DeRozan,0,2PT Field Goal,1,-19,3
DeMar DeRozan,1,2PT Field Goal,2,21,17
DeMar DeRozan,0,2PT Field Goal,1,-8,12
DeMar DeRozan,1,2PT Field Goal,2,-24,6
DeMar DeRozan,1,2PT Field Goal,2,-21,9
DeMar DeRozan,0,2PT Field Goal,3,29,11
DeMar DeRozan,0,2PT Field Goal,2,-2,23
DeMar DeRozan,0,2PT Field Goal,2,20,6
DeMar DeRozan,1,2PT Field Goal,2,20,0
DeMar DeRozan,1,2PT Field Goal,0,7,0
DeMar DeRozan,0,2PT Field Goal,1,-18,-3
DeMar DeRozan,0,2PT Field Goal,1,10,17
DeMar DeRozan,1,2PT Field Goal,4,45,19
DeMar DeRozan,0,2PT Field Goal,3,28,20
DeMar DeRozan,0,2PT Field Goal,2,29,-3
DeMar DeRozan,0,2PT Field Goal,1,-5,9
DeMar DeRozan,0,2PT Field Goal,2,-7,20
DeMar DeRozan,1,2PT Field Goal,2,21,-3
DeMar DeRozan,1,2PT Field Goal,2,-27,-5
DeMar DeRozan,1,2PT Field Goal,2,-24,-6
DeMar DeRozan,1,2PT Field Goal,2,20,6
DeMar DeRozan,0,2PT Field Goal,1,13,0
DeMar DeRozan,0,2PT Field Goal,1,-11,14
DeMar DeRozan,1,2PT Field Goal,2,20,6
DeMar DeRozan,1,2PT Field Goal,2,-21,3
DeMar DeRozan,1,2PT Field Goal,1,-15,0
DeMar DeRozan,1,2PT Field Goal,1,2,11
DeMar DeRozan,1,2PT Field Goal,2,23,6
DeMar DeRozan,0,2PT Field Goal,2,0,20
DeMar DeRozan,0,2PT Field Goal,1,-6,8
DeMar DeRozan,1,2PT Field Goal,1,-4,15
DeMar DeRozan,1,2PT Field Goal,0,-4,3
DeMar DeRozan,1,2PT Field Goal,1,13,9
DeMar DeRozan,1,2PT Field Goal,1,-19,-5
DeMar DeRozan,1,2PT Field Goal,0,0,6
DeMar DeRozan,0,2PT Field Goal,2,-19,7
DeMar DeRozan,1,2PT Field Goal,1,-13,11
DeMar DeRozan,0,2PT Field Goal,2,-23,11
DeMar DeRozan,0,2PT Field Goal,0,-5,3
DeMar DeRozan,1,2PT Field Goal,0,0,9
DeMar DeRozan,1,2PT Field Goal,1,-19,4
